Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_2/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/BatchNorm/moving_mean/read, Layer Type: Identity
